#x,sin(x)
-6.283185307179586,2.4492935982947064e-16
-6.156252270670907,0.12659245357374993
-6.029319234162229,0.2511479871810794
-5.90238619765355,0.3716624556603281
-5.775453161144872,0.4861967361004688
-5.648520124636193,0.592907929054641
-5.521587088127515,0.690079011482112
-5.394654051618836,0.7761464642917572
-5.267721015110158,0.8497254299495144
-5.140787978601479,0.9096319953545186
-5.013854942092801,0.9549022414440739
-4.886921905584122,0.9848077530122081
-4.759988869075444,0.998867339183008
-4.6330558325667655,0.9968547759519423
-4.5061227960580865,0.9788024462147785
-4.3791897595494085,0.9450008187146683
-4.25225672304073,0.895993774291336
-4.1253236865320515,0.8325698546347713
-3.998390650023373,0.7557495743542582
-3.8714576135146945,0.6667690005162915
-3.744524577006016,0.5670598638627706
-3.6175915404973376,0.4582265217274103
-3.490658503988659,0.34202014332566866
-3.3637254674799806,0.22031053278654056
-3.2367924309713016,0.09505604330418219
-3.109859394462623,-0.0317279334980681
-2.9829263579539447,-0.1580013959733503
-2.855993321445266,-0.28173255684143006
-2.7290602849365877,-0.40093053540661405
-2.602127248427909,-0.5136773915734066
-2.4751942119192307,-0.6181589862206055
-2.3482611754105522,-0.712694171378863
-2.2213281389018737,-0.7957618405308322
-2.094395102393195,-0.866025403784439
-1.9674620658845168,-0.9223542941045815
-1.8405290293758378,-0.9638421585599423
-1.7135959928671598,-0.9898214418809328
-1.5866629563584809,-0.9998741276738751
-1.4597299198498028,-0.9938384644612541
-1.332796883341124,-0.9718115683235415
-1.2058638468324459,-0.9341478602651067
-1.078930810323767,-0.8814533634475819
-0.9519977738150889,-0.8145759520503357
-0.82506473730641,-0.734591708657533
-0.6981317007977319,-0.6427876096865394
-0.571198664289053,-0.5406408174555973
-0.4442656277803749,-0.4297949120891717
-0.317332591271696,-0.31203344569848684
-0.19039955476301706,-0.18925124436040952
-0.06346651825433902,-0.06342391965656427
0.06346651825433991,0.06342391965656516
0.19039955476301795,0.18925124436041038
0.3173325912716969,0.3120334456984877
0.4442656277803749,0.4297949120891717
0.5711986642890539,0.540640817455598
0.6981317007977319,0.6427876096865394
0.8250647373064108,0.7345917086575335
0.9519977738150889,0.8145759520503357
1.0789308103237678,0.8814533634475823
1.2058638468324459,0.9341478602651067
1.3327968833411248,0.9718115683235418
1.4597299198498028,0.9938384644612541
1.5866629563584818,0.9998741276738751
1.7135959928671598,0.9898214418809328
1.8405290293758387,0.963842158559942
1.9674620658845168,0.9223542941045815
2.0943951023931966,0.866025403784438
2.2213281389018746,0.7957618405308318
2.3482611754105527,0.7126941713788628
2.4751942119192307,0.6181589862206055
2.6021272484279105,0.5136773915734055
2.7290602849365886,0.4009305354066132
2.8559933214452666,0.28173255684142967
2.9829263579539447,0.1580013959733503
3.1098593944626245,0.03172793349806677
3.2367924309713025,-0.09505604330418307
3.3637254674799806,-0.22031053278654056
3.4906585039886586,-0.3420201433256682
3.6175915404973384,-0.4582265217274111
3.7445245770060165,-0.567059863862771
3.8714576135146945,-0.6667690005162915
3.9983906500233743,-0.755749574354259
4.125323686532052,-0.8325698546347717
4.25225672304073,-0.895993774291336
4.3791897595494085,-0.9450008187146683
4.506122796058088,-0.978802446214779
4.633055832566766,-0.9968547759519424
4.759988869075444,-0.998867339183008
4.886921905584122,-0.9848077530122081
5.013854942092802,-0.9549022414440737
5.14078797860148,-0.9096319953545182
5.267721015110158,-0.8497254299495144
5.394654051618836,-0.7761464642917572
5.521587088127516,-0.6900790114821114
5.648520124636194,-0.5929079290546402
5.775453161144872,-0.4861967361004688
5.902386197653552,-0.3716624556603264
6.02931923416223,-0.2511479871810785
6.156252270670908,-0.12659245357374904
6.283185307179586,-2.4492935982947064e-16
